TaxiID,Lon,Lat,streetMID,disFNode,oneway,pLon,pLat
18715,114.29315700000001,30.667303000000004,7446,225.411289888708,F,114.293380599707,30.6669037004868
18720,114.25258500000001,30.531473,1563,290.397017650194,F,114.251998005176,30.5308366297579
18742,114.31392,30.518476,1154,359.926831281596,B,114.313221801177,30.518489298006
18743,114.25608899999999,30.633062,6169,6.62936593758292,F,114.256106939128,30.6330735330458
18788,114.364892,30.614407,5485,384.341491081483,F,114.364872319355,30.6144396818355
18789,114.27661499999999,30.63242,6119,208.052204665662,B,114.27674007916,30.6321883723868
18793,114.346507,30.52598,1410,146.280700520661,F,114.346583531921,30.5259584226118
18805,114.30461299999999,30.609061999999998,5168,81.6822176654707,F,114.304855632156,30.6096120800723
18808,114.27668700000001,30.632632,6119,224.257885087875,B,114.276893175622,30.6322501936981
18809,114.196223,30.566947,2858,100.907087645402,F,114.196233043221,30.5669831294025
18810,114.398622,30.476376000000002,257,36.4538513329119,B,114.398579318217,30.4763673058714
18814,114.31735800000001,30.53105,1593,228.794904349174,B,114.317083456437,30.5310548936685
18815,114.371342,30.584682,3415,49.9442692804039,F,114.371560529439,30.5845709201009
18821,114.289525,30.572728,3239,349.222838810677,F,114.289476634646,30.5727472818049
18823,114.27565700000001,30.621008000000003,5706,493.035333214068,B,114.275663017421,30.6210479834468
18828,114.276572,30.632483,6119,207.271834410043,B,114.27673270694,30.6321853954318
18829,114.308516,30.507751000000003,895,112.821125667905,F,114.308445188111,30.5077529121833
18830,114.368727,30.530834999999996,1579,14.9018642366232,F,114.368725073788,30.5308151516656
18835,114.291991,30.663462,6578,5.47238162392629,F,114.292066310115,30.6634424569632
18836,114.347697,30.529517,1568,194.058094071594,F,114.347856620169,30.5294679321867
18852,114.17268700000001,30.567255,2854,940.373303870707,F,114.172674797301,30.5669758912997
18855,114.275849,30.661376,7443,77.0463800662289,F,114.275870209508,30.6613754781384
18858,114.27656,30.554928999999998,2282,16.0271187299806,B,114.276616108245,30.5550555631565
18860,114.29318700000002,30.667340000000003,7446,222.042279922831,F,114.293412520835,30.6669163995566
18862,114.37751999999999,30.467090999999996,68,464.992608151904,F,114.377516432211,30.4670970060315
18864,114.294923,30.547334999999997,7622,2240.75603215465,F,114.294937270197,30.547353231541
18867,114.37121200000001,30.584497999999996,3415,73.8575993287948,F,114.37143428457,30.5843850113885
18870,114.23653300000001,30.610879999999998,6741,59.481906054283,F,114.236551788935,30.6108511094176
18872,114.26188700000002,30.59477,4294,116.667324210103,F,114.261901161777,30.5947255806083
18873,114.27641000000001,30.632416999999997,6119,190.096342948587,B,114.276570448826,30.6321198742988
18875,114.401303,30.464532000000002,6802,387.354430975739,F,114.401187785112,30.4650191669456
18877,114.32118200000001,30.484171000000003,478,238.116876482871,F,114.321183129963,30.4841020807058
18878,114.16066699999999,30.625266999999997,5735,3460.42344180015,F,114.160670481329,30.6252651269045
18879,114.27587700000001,30.610645,5214,0,F,114.275448899945,30.6101449003886
18883,114.30547,30.632825,6207,91.2783393314015,B,114.305096184996,30.6329006673135
18887,114.262169,30.567135999999998,2883,228.439493091268,F,114.262113847339,30.5671424919207
18893,114.27588700000001,30.610653000000003,5214,0,F,114.275448899945,30.6101449003886
18927,114.27747600000001,30.575678000000003,3048,453.992589448537,F,114.276933038841,30.5753927426643
18967,114.42318700000001,30.6134,7314,381.073791408694,F,114.422914609738,30.6133377233184
18969,114.30717,30.491291999999998,582,679.727209281496,F,114.30713681833,30.4912962415601
19107,114.337849,30.592076000000002,4159,5.32016559095289,F,114.33785666506,30.5920720142344
19110,114.196809,30.627227,7375,426.644354614941,F,114.196822039041,30.6269805388106
19376,114.251957,30.644927000000003,7424,43.949301750376,F,114.252542382535,30.6442028893411
19378,114.23081200000001,30.631602,7733,173.21179097386,F,114.231134481229,30.6312488603629
19380,114.269609,30.585046999999996,7188,388.283034645666,F,114.26960616569,30.585054451805
19383,114.32383999999999,30.522278000000004,1342,161.473708447556,F,114.323505646678,30.5223855617864
19384,114.27665800000001,30.632596000000003,6119,220.048308846216,B,114.276853407372,30.6322341350537
19387,114.416711,30.630121999999997,6065,971.258951724733,F,114.416707368835,30.630110482959
19389,114.258548,30.533466999999998,1523,443.121742742644,B,114.25851546209,30.5334903927174
19390,114.28657,30.503202,764,25.6663054727997,F,114.286573340906,30.5031995518545
19392,114.159352,30.56665,7876,2809.56751993022,F,114.159959071703,30.5666869261893
19393,114.22168,30.585562,7190,44.5923564220982,F,114.221649843517,30.5855713558573
19396,114.31509299999999,30.525652,1354,4.19907292053337,B,114.314925604772,30.5256922176499
19400,114.257724,30.604249,4534,487.719798433365,F,114.257635625881,30.6042329056093
19402,114.210871,30.516410999999998,1155,146.736077685063,F,114.21094150772,30.5163679948514
19404,114.19446299999998,30.538648,1804,293.517992305642,B,114.194602173076,30.5390301908329
19408,114.27585800000001,30.662207000000002,7743,264.653191449111,F,114.27622676435,30.6616346922755
19410,114.34680700000001,30.569097999999997,2969,493.967678658612,F,114.34679290745,30.5691084461863
19412,114.302777,30.615945,7711,87.9440556886155,F,114.302759949469,30.6159228668889
19416,114.27018500000001,30.550125,2185,83.1885076365597,B,114.270185014304,30.5501118070958
19417,114.32521799999999,30.589741999999998,3647,1442.00922052741,F,114.325155358851,30.589781912456
19421,114.266782,30.637542,6293,227.57297144673,F,114.266814119322,30.6374894314959
